Namespace,Deployment,Container,CPU usage,Memory usage,Disk read,Disk write,Network in,Network out,Time
observability,N/A,alertmanager,0.0006686317174375058,42852352,0,0,N/A,N/A,19:53:15
kube-system,N/A,calico-kube-controllers,0.006296527035194642,61333504,0,0,N/A,N/A,19:53:15
kube-system,N/A,calico-node,0.08757803979366466,142352384,0,0,N/A,N/A,19:53:15
robot-shop,N/A,cart,0.0013199679230139266,74907648,0,0,N/A,N/A,19:53:15
robot-shop,N/A,catalogue,0.0018027274577653025,40673280,0,0,N/A,N/A,19:53:15
chaos-testing,N/A,chaos-daemon,0.000023183969617114516,73629696,0,0,N/A,N/A,19:53:15
chaos-testing,N/A,chaos-dashboard,0.003940694974617996,210415616,0,0,N/A,N/A,19:53:15
chaos-testing,N/A,chaos-mesh,0.4126601723584464,60305408,0,0,N/A,N/A,19:53:15
chaos-testing,N/A,chaos-mesh,0.4126601723584464,60305408,0,0,N/A,N/A,19:53:15
chaos-testing,N/A,chaos-mesh,0.4126601723584464,60305408,0,0,N/A,N/A,19:53:15
observability,N/A,config-reloader,0.00004333841766695413,3842048,0,135.81802506797533,N/A,N/A,19:53:15
observability,N/A,config-reloader,0.00004333841766695413,3842048,0,135.81802506797533,N/A,N/A,19:53:15
kube-system,N/A,coredns,0.0022773695225166814,60874752,0,0,N/A,N/A,19:53:15
robot-shop,N/A,dispatch,0.0073133740288569785,20307968,0,0,N/A,N/A,19:53:15
observability,N/A,grafana,0.09550214100640947,163774464,0,0,N/A,N/A,19:53:15
observability,N/A,grafana-sc-dashboard,0.000008889050141484893,95735808,0,0,N/A,N/A,19:53:15
observability,N/A,grafana-sc-datasources,0.000009212675596192401,90599424,0,0,N/A,N/A,19:53:15
kube-system,N/A,hostpath-provisioner,0.003973923653477415,38113280,0,0,N/A,N/A,19:53:15
observability,N/A,kube-prometheus-stack,0.0019600708328573082,71991296,0,0,N/A,N/A,19:53:15
observability,N/A,kube-state-metrics,0.0020687521949374296,49221632,0,0,N/A,N/A,19:53:15
robot-shop,N/A,load,0.19977316056483652,150855680,0,0,N/A,N/A,19:53:15
observability,N/A,loki,0.02195249454545443,842059776,0,401080.32,N/A,N/A,19:53:15
kube-system,N/A,metrics-server,0.012229227523563304,60448768,0,0,N/A,N/A,19:53:15
robot-shop,N/A,mongodb,0.011551477832513724,205115392,0,5212.47947454844,N/A,N/A,19:53:15
robot-shop,N/A,mysql,0.0019868511883227493,772419584,0,0,N/A,N/A,19:53:15
default,N/A,nginx,0,15265792,0,0,N/A,N/A,19:53:15
observability,N/A,node-exporter,0.011965885596140612,25280512,0,0,N/A,N/A,19:53:15
robot-shop,N/A,payment,0.0012643760683767739,54697984,0,0,N/A,N/A,19:53:15
observability,N/A,prometheus,0.5269045088161198,1869307904,0,22285.541561712846,N/A,N/A,19:53:15
observability,N/A,promtail,0.08124491271902577,157442048,0,0,N/A,N/A,19:53:15
robot-shop,N/A,rabbitmq,0.030291899999999334,127377408,0,0,N/A,N/A,19:53:15
robot-shop,N/A,ratings,0.0021243811643711875,90525696,0,0,N/A,N/A,19:53:15
robot-shop,N/A,shipping,0.001344222641611006,585256960,0,217.75072432949682,N/A,N/A,19:53:15
observability,N/A,tempo,0.0021207062710814264,229584896,4511.32374199766,563.9154677497075,N/A,N/A,19:53:15
observability,N/A,tempo-query,0.0008908207695269711,54296576,0,0,N/A,N/A,19:53:15
robot-shop,N/A,user,0.05061090833680716,80080896,0,0,N/A,N/A,19:53:15
robot-shop,N/A,web,0.03170403064623461,37928960,0,0,N/A,N/A,19:53:15
default,N/A,N/A,0,15790080,0,0,0,0,19:53:15
observability,N/A,N/A,0.0013792207792207947,49750016,0,0,1905.0298757547976,15112.168442350858,19:53:15
observability,N/A,N/A,0.0013792207792207947,49750016,0,0,1905.0298757547976,15112.168442350858,19:53:15
observability,N/A,N/A,0.0013792207792207947,49750016,0,0,1905.0298757547976,15112.168442350858,19:53:15
kube-system,N/A,N/A,0.0056760666666666754,61849600,0,0,199.7952218430034,38.87372013651876,19:53:15
observability,N/A,N/A,0.0013792207792207947,49750016,0,0,1905.0298757547976,15112.168442350858,19:53:15
kube-system,N/A,N/A,0.0056760666666666754,61849600,0,0,199.7952218430034,38.87372013651876,19:53:15
observability,N/A,N/A,0.0013792207792207947,49750016,0,0,1905.0298757547976,15112.168442350858,19:53:15
observability,N/A,N/A,0.0013792207792207947,49750016,0,0,1905.0298757547976,15112.168442350858,19:53:15
chaos-testing,N/A,N/A,0.000021116372952420153,74113024,0,0,0,0,19:53:15
observability,N/A,N/A,0.0013792207792207947,49750016,0,0,1905.0298757547976,15112.168442350858,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
chaos-testing,N/A,N/A,0.000021116372952420153,74113024,0,0,0,0,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
kube-system,N/A,N/A,0.0056760666666666754,61849600,0,0,199.7952218430034,38.87372013651876,19:53:15
chaos-testing,N/A,N/A,0.000021116372952420153,74113024,0,0,0,0,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
kube-system,N/A,N/A,0.0056760666666666754,61849600,0,0,199.7952218430034,38.87372013651876,19:53:15
chaos-testing,N/A,N/A,0.000021116372952420153,74113024,0,0,0,0,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
chaos-testing,N/A,N/A,0.000021116372952420153,74113024,0,0,0,0,19:53:15
kube-system,N/A,N/A,0.0056760666666666754,61849600,0,0,199.7952218430034,38.87372013651876,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
observability,N/A,N/A,0.0013792207792207947,49750016,0,0,1905.0298757547976,15112.168442350858,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
robot-shop,N/A,N/A,0.0012669315885040127,55214080,0,0,1.346062766408256,3.6892090634892942,19:53:15
observability,N/A,N/A,0.0013792207792207947,49750016,0,0,1905.0298757547976,15112.168442350858,19:53:15
observability,N/A,alertmanager,0.0010898302055406639,42852352,0,0,N/A,N/A,19:54:15
kube-system,N/A,calico-kube-controllers,0.005651980168801173,61337600,0,0,N/A,N/A,19:54:15
kube-system,N/A,calico-node,0.07634817522783725,142381056,166.98679922673293,0,N/A,N/A,19:54:15
robot-shop,N/A,cart,0.00006889304423806223,74928128,0,0,N/A,N/A,19:54:15
robot-shop,N/A,catalogue,0.0001919841958755599,40833024,0,0,N/A,N/A,19:54:15
chaos-testing,N/A,chaos-daemon,0.000013813112996336265,73691136,0,0,N/A,N/A,19:54:15
chaos-testing,N/A,chaos-dashboard,0.010029436400622087,197496832,0,4533.6843364843835,N/A,N/A,19:54:15
chaos-testing,N/A,chaos-mesh,0.0010414736164737052,60325888,0,0,N/A,N/A,19:54:15
chaos-testing,N/A,chaos-mesh,0.0010414736164737052,60325888,0,0,N/A,N/A,19:54:15
chaos-testing,N/A,chaos-mesh,0.0010414736164737052,60325888,0,0,N/A,N/A,19:54:15
observability,N/A,config-reloader,0.000023339609167046197,3919872,0,132.9611114717912,N/A,N/A,19:54:15
observability,N/A,config-reloader,0.000023339609167046197,3919872,0,132.9611114717912,N/A,N/A,19:54:15
kube-system,N/A,coredns,0.0018128308207705514,61120512,0,0,N/A,N/A,19:54:15
robot-shop,N/A,dispatch,0.007837524278131254,18927616,0,0,N/A,N/A,19:54:15
observability,N/A,grafana,0.06662657434319268,168157184,0,0,N/A,N/A,19:54:15
observability,N/A,grafana-sc-dashboard,0.008582638307696752,95289344,0,0,N/A,N/A,19:54:15
observability,N/A,grafana-sc-datasources,0.000010996436908720438,90599424,0,0,N/A,N/A,19:54:15
kube-system,N/A,hostpath-provisioner,0.0013924703118882687,37900288,0,0,N/A,N/A,19:54:15
observability,N/A,kube-prometheus-stack,0.0010033772141429507,71991296,0,0,N/A,N/A,19:54:15
observability,N/A,kube-state-metrics,0.0018098028112341887,49217536,0,0,N/A,N/A,19:54:15
robot-shop,N/A,load,0.19915898063039997,154861568,0,0,N/A,N/A,19:54:15
observability,N/A,loki,0.013343555588084133,846548992,0,111820.8299787748,N/A,N/A,19:54:15
kube-system,N/A,metrics-server,0.015390308077453615,60919808,0,0,N/A,N/A,19:54:15
robot-shop,N/A,mongodb,0.025536839506016273,205131776,0,2246.8649853051743,N/A,N/A,19:54:15
robot-shop,N/A,mysql,0.001157280245482252,772419584,0,0,N/A,N/A,19:54:15
default,N/A,nginx,0,15265792,0,0,N/A,N/A,19:54:15
observability,N/A,node-exporter,0.00753514090683746,25567232,0,0,N/A,N/A,19:54:15
robot-shop,N/A,payment,0.0004540320960656171,54697984,0,0,N/A,N/A,19:54:15
observability,N/A,prometheus,0.44720851216022905,1872879616,0,42320.77571133365,N/A,N/A,19:54:15
observability,N/A,promtail,0.0722869270610238,159117312,0,0,N/A,N/A,19:54:15
robot-shop,N/A,rabbitmq,0.03888711565060285,127377408,0,0,N/A,N/A,19:54:15
robot-shop,N/A,ratings,0.0035080103359174356,90525696,0,0,N/A,N/A,19:54:15
robot-shop,N/A,shipping,0.001120815231279658,585256960,0,523.383593151035,N/A,N/A,19:54:15
observability,N/A,tempo,0.001057116978646279,229601280,0,449.68985013997917,N/A,N/A,19:54:15
observability,N/A,tempo-query,0.00022847835911640955,54296576,0,0,N/A,N/A,19:54:15
robot-shop,N/A,user,0.1813445080500895,104353792,0,0,N/A,N/A,19:54:15
robot-shop,N/A,web,0.05843327245346081,39501824,0,0,N/A,N/A,19:54:15
default,N/A,N/A,0,15790080,0,0,0,0,19:54:15
observability,N/A,N/A,0.0011400047901211309,49750016,0,0,1908.7435709037477,17455.58412931668,19:54:15
observability,N/A,N/A,0.0011400047901211309,49750016,0,0,1908.7435709037477,17455.58412931668,19:54:15
observability,N/A,N/A,0.0011400047901211309,49750016,0,0,1908.7435709037477,17455.58412931668,19:54:15
kube-system,N/A,N/A,0.0044658000000000675,61857792,0,0,198.41300711812985,40.37496596522619,19:54:15
observability,N/A,N/A,0.0011400047901211309,49750016,0,0,1908.7435709037477,17455.58412931668,19:54:15
kube-system,N/A,N/A,0.0044658000000000675,61857792,0,0,198.41300711812985,40.37496596522619,19:54:15
observability,N/A,N/A,0.0011400047901211309,49750016,0,0,1908.7435709037477,17455.58412931668,19:54:15
observability,N/A,N/A,0.0011400047901211309,49750016,0,0,1908.7435709037477,17455.58412931668,19:54:15
chaos-testing,N/A,N/A,0.000013014150597514298,74174464,0,0,0,0,19:54:15
observability,N/A,N/A,0.0011400047901211309,49750016,0,0,1908.7435709037477,17455.58412931668,19:54:15
robot-shop,N/A,N/A,0.0006424333333332773,55214080,0,0,1.8279060320899063,5.009816532394557,19:54:15
chaos-testing,N/A,N/A,0.000013014150597514298,74174464,0,0,0,0,19:54:15
robot-shop,N/A,N/A,0.0006424333333332773,55214080,0,0,1.8279060320899063,5.009816532394557,19:54:15
robot-shop,N/A,N/A,0.0006424333333332773,55214080,0,0,1.8279060320899063,5.009816532394557,19:54:15
