Namespace,Deployment,Container,CPU usage,Memory usage,Disk read,Disk write,Network in,Network out,Time
kube-system,N/A,calico-node,0.0337479546574667,141623296,3364.547396090028,0,N/A,N/A,17:07:36
robot-shop,N/A,catalogue,0.0002040554340700975,40112128,0,0,N/A,N/A,17:07:36
chaos-testing,N/A,chaos-mesh,0.00040165588535595056,20873216,0,0,N/A,N/A,17:07:36
observability,N/A,grafana-sc-dashboard,0.000010851816573719839,93708288,0,0,N/A,N/A,17:07:36
observability,N/A,kube-prometheus-stack,0.0003972949563595137,70901760,0,0,N/A,N/A,17:07:36
observability,N/A,loki,0.01085783331743432,267497472,0,98984.38742090369,N/A,N/A,17:07:36
robot-shop,N/A,user,0.018556320444745797,98111488,0,0,N/A,N/A,17:07:36
default,N/A,N/A,0,15790080,0,0,0,0,17:07:36
kube-system,N/A,N/A,0.0009776710282357133,61407232,0,0,N/A,N/A,17:07:36
observability,N/A,N/A,0.0012849953347657196,49393664,0,0,0,0,17:07:36
observability,N/A,N/A,0.0012849953347657196,49393664,0,0,0,0,17:07:36
robot-shop,N/A,N/A,0.00010490333976748264,53329920,0,0,14.662223929325908,15.085397861852634,17:07:36
robot-shop,N/A,N/A,0.00010490333976748264,53329920,0,0,14.662223929325908,15.085397861852634,17:07:36
chaos-testing,N/A,N/A,0,59314176,N/A,N/A,6.432722014530579,8.19217570713127,17:07:36
robot-shop,N/A,N/A,0.00010490333976748264,53329920,0,0,14.662223929325908,15.085397861852634,17:07:36
robot-shop,N/A,N/A,0.00010490333976748264,53329920,0,0,14.662223929325908,15.085397861852634,17:07:36
robot-shop,N/A,N/A,0.00010490333976748264,53329920,0,0,14.662223929325908,15.085397861852634,17:07:36
observability,N/A,N/A,0.0012849953347657196,49393664,0,0,0,0,17:07:36
robot-shop,N/A,N/A,0.00010490333976748264,53329920,0,0,14.662223929325908,15.085397861852634,17:07:36
observability,N/A,alertmanager,0.0006247816651669891,42848256,0,0,N/A,N/A,17:07:51
kube-system,N/A,calico-kube-controllers,0.002239134117009356,60891136,0,0,N/A,N/A,17:07:51
kube-system,N/A,calico-node,0.03167258083342976,141615104,0,0,N/A,N/A,17:07:51
robot-shop,N/A,cart,0.00007155977808756535,74399744,0,0,N/A,N/A,17:07:51
robot-shop,N/A,catalogue,0.00043790095289283546,40280064,0,0,N/A,N/A,17:07:51
chaos-testing,N/A,chaos-daemon,0.0002084782788771396,58830848,0,0,N/A,N/A,17:07:51
chaos-testing,N/A,chaos-mesh,0.00033164318525830035,20873216,0,0,N/A,N/A,17:07:51
chaos-testing,N/A,chaos-mesh,0.00033164318525830035,20873216,0,0,N/A,N/A,17:07:51
chaos-testing,N/A,chaos-mesh,0.00033164318525830035,20873216,0,0,N/A,N/A,17:07:51
observability,N/A,config-reloader,0.00003209891962780244,3723264,0,0,N/A,N/A,17:07:51
observability,N/A,config-reloader,0.00003209891962780244,3723264,0,0,N/A,N/A,17:07:51
kube-system,N/A,coredns,0.0016598988085523012,62640128,0,0,N/A,N/A,17:07:51
robot-shop,N/A,dispatch,0.0030820376690687385,18804736,0,0,N/A,N/A,17:07:51
observability,N/A,grafana,0.0025121020924679114,162078720,0,0,N/A,N/A,17:07:51
observability,N/A,grafana-sc-dashboard,0.00005041443898232173,93577216,0,0,N/A,N/A,17:07:51
observability,N/A,grafana-sc-datasources,0.00003771363005013889,89546752,0,0,N/A,N/A,17:07:51
kube-system,N/A,hostpath-provisioner,0.0008562965793999718,37797888,0,0,N/A,N/A,17:07:51
observability,N/A,kube-prometheus-stack,0.00018943629778106879,70901760,0,0,N/A,N/A,17:07:51
observability,N/A,kube-state-metrics,0.0008619237506055907,48865280,0,0,N/A,N/A,17:07:51
robot-shop,N/A,load,0.1998956928621247,200273920,0,0,N/A,N/A,17:07:51
observability,N/A,loki,0.012383316917433853,277991424,0,200327.41228814996,N/A,N/A,17:07:51
kube-system,N/A,metrics-server,0.0024589953271026937,60788736,0,0,N/A,N/A,17:07:51
robot-shop,N/A,mongodb,0.010689579207279544,204247040,0,1503.5735744219994,N/A,N/A,17:07:51
robot-shop,N/A,mysql,0.0007703721204958544,772415488,0,0,N/A,N/A,17:07:51
default,N/A,nginx,0,15265792,0,0,N/A,N/A,17:07:51
observability,N/A,node-exporter,0.00152116024726583,24625152,0,0,N/A,N/A,17:07:51
robot-shop,N/A,payment,0.00024310642980766275,52817920,0,0,N/A,N/A,17:07:51
observability,N/A,prometheus,0.06003375615142033,1641517056,0,31071.646960525195,N/A,N/A,17:07:51
observability,N/A,promtail,0.11009431955384386,153882624,0,0,N/A,N/A,17:07:51
robot-shop,N/A,rabbitmq,0.011564783538381652,127000576,0,0,N/A,N/A,17:07:51
robot-shop,N/A,ratings,0.0010905986339903024,90525696,0,0,N/A,N/A,17:07:51
robot-shop,N/A,shipping,0.0009074170182727663,582979584,0,0,N/A,N/A,17:07:51
observability,N/A,tempo,0.0007550212237291602,212873216,0,0,N/A,N/A,17:07:51
observability,N/A,tempo-query,0.0004214040056645813,54239232,0,0,N/A,N/A,17:07:51
robot-shop,N/A,web,0.05372414025019138,44998656,0,0,N/A,N/A,17:07:51
