Chaos-daemon Version: version.Info{GitVersion:"chart-2.5.1", GitCommit:"08b173528f315d3a6621b9be5566e74ab9e0d35d", BuildDate:"2023-01-14T02:33:17Z", GoVersion:"go1.18", Compiler:"gc", Platform:"linux/amd64"}
2023-02-01T19:58:04.543Z	INFO	chaos-daemon.daemon-server	chaos-daemon/main.go:80	grant access to /dev/fuse
2023-02-01T19:58:04.543Z	ERROR	chaos-daemon.daemon-server	chaos-daemon/main.go:83	grant access to /dev/fuse	{"error": "fail to find device cgroup", "errorVerbose": "fail to find device cgroup\ngithub.com/chaos-mesh/chaos-mesh/pkg/fusedev.GrantAccess\n\t/home/runner/work/chaos-mesh/chaos-mesh/pkg/fusedev/fusedev_linux.go:60\nmain.main\n\t/home/runner/work/chaos-mesh/chaos-mesh/cmd/chaos-daemon/main.go:81\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:250\nruntime.goexit\n\t/usr/local/go/src/runtime/asm_amd64.s:1571"}
main.main
	/home/runner/work/chaos-mesh/chaos-mesh/cmd/chaos-daemon/main.go:83
runtime.main
	/usr/local/go/src/runtime/proc.go:250
2023-02-01T19:58:04.543Z	INFO	chaos-daemon.daemon-server	chaos-daemon/main.go:86	remount /sys with read-write permission
2023-02-01T19:58:04.614Z	INFO	chaos-daemon.daemon-server	runtime/asm_amd64.s:1571	Starting grpc endpoint	{"address": "0.0.0.0:31767", "runtime": "containerd"}
2023-02-01T19:58:04.615Z	INFO	chaos-daemon.daemon-server	runtime/asm_amd64.s:1571	Starting http endpoint	{"address": "0.0.0.0:31766"}
2023-02-01T21:11:24.074Z	INFO	chaos-daemon.daemon-server	chaosdaemon/server.go:187	Executing stressors	{"namespacedName": "robot-shop/fault-5", "request": "target:\"containerd://164eeb5f1121af00d3ed0bc0a3df9e2ab5559d048c76b673076f799288d482a6\" cpuStressors:\" --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50\" enterNS:true memoryStressors:\" --workers 50 --size 50\""}
2023-02-01T21:11:24.096Z	INFO	chaos-daemon.daemon-server.background-process-manager.process-builder	chaosdaemon/stress_server_linux.go:39	build command	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/7460/ns/pid -- stress-ng --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50"}
2023-02-01T21:11:24.100Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	Start stress-ng successfully	{"namespacedName": "robot-shop/fault-5", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/7460/ns/pid -- stress-ng --cpu-load-slice 10 --cpu-method sqrt --cpu 50 --cpu-load 50", "pid": 94867, "uid": "370ab15f-d0c5-4d0a-b8a0-36e0070580fa"}
2023-02-01T21:11:24.117Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/fault-5"}
