Namespace,Deployment,Container,CPU usage,Memory usage,Disk read,Disk write,Network in,Network out,Time
kube-system,N/A,calico-node,0.050816647443424186,137744384,0,0,N/A,N/A,16:54:03
robot-shop1,N/A,cart,0.0000900027778635118,72192000,0,0,N/A,N/A,16:54:03
chaos-testing,N/A,chaos-daemon,0.000006043232031138578,66101248,0,0,N/A,N/A,16:54:03
chaos-testing,N/A,chaos-mesh,0.0007832940750176025,44113920,0,0,N/A,N/A,16:54:03
chaos-testing,N/A,chaos-mesh,0.0007832940750176025,44113920,0,0,N/A,N/A,16:54:03
chaos-testing,N/A,chaos-mesh,0.0007832940750176025,44113920,0,0,N/A,N/A,16:54:03
platform,N/A,clickhouse,0.4443059566630575,1006067712,0,613140.9719693772,N/A,N/A,16:54:03
observability,N/A,grafana,0.009614938697735467,153505792,0,0,N/A,N/A,16:54:03
kube-system,N/A,hostpath-provisioner,0.0008659053329456132,35962880,0,0,N/A,N/A,16:54:03
observability,N/A,kube-prometheus-stack,0.0001758003454993112,67506176,0,0,N/A,N/A,16:54:03
observability,N/A,kube-state-metrics,0.0011009665655059536,45314048,0,0,N/A,N/A,16:54:03
observability,N/A,loki,0.00853032963672056,171208704,0,0,N/A,N/A,16:54:03
platform,N/A,my-release-signoz-otel-collector,0.013916666295941018,129449984,N/A,N/A,N/A,N/A,16:54:03
platform,N/A,my-release-signoz-otel-collector-metrics,0.007804190500684729,85098496,N/A,N/A,N/A,N/A,16:54:03
platform,N/A,my-release-signoz-query-service,0.00005233560004257525,20455424,0,0,N/A,N/A,16:54:03
default,N/A,nginx,0,13565952,0,0,N/A,N/A,16:54:03
observability,N/A,node-exporter,0.010320527229998969,8466432,0,N/A,N/A,N/A,16:54:03
robot-shop1,N/A,payment,0.0012336444207339205,63975424,0,0,N/A,N/A,16:54:03
observability,N/A,prometheus,0.4524653158997857,2950606848,0,43744.086236151314,N/A,N/A,16:54:03
observability,N/A,promtail,0.0123908164590198,135217152,0,0,N/A,N/A,16:54:03
robot-shop1,N/A,rabbitmq,0.027001330189249394,128122880,0,0,N/A,N/A,16:54:03
robot-shop1,N/A,ratings,0.0019463346194317406,81850368,0,0,N/A,N/A,16:54:03
robot-shop1,N/A,user,0.0001235543808651999,47218688,0,0,N/A,N/A,16:54:03
platform,N/A,N/A,0,32608256,0,0,29.95590501839902,21.400622633459548,16:54:03
observability,N/A,N/A,0.0011070403583342448,45813760,0,0,101.98034839336525,650.5847404400029,16:54:03
observability,N/A,N/A,0.0011070403583342448,45813760,0,0,101.98034839336525,650.5847404400029,16:54:03
