Namespace,Deployment,Container,CPU usage,Memory usage,Disk read,Disk write,Network in,Network out,Time
robot-shop,N/A,catalogue,0.0003220095693779877,36159488,0,0,N/A,N/A,00:23:16
observability,N/A,loki,0.0035058272702775564,108244992,0,2621.3958501751554,N/A,N/A,00:23:16
robot-shop,N/A,mongodb,0.0023511467265992384,209039360,643.3977775003121,3216.4774628542887,N/A,N/A,00:23:16
observability,N/A,promtail,0.01626175411767843,118145024,0,0,N/A,N/A,00:23:16
observability,N/A,N/A,0,118628352,0,0,93.93946183976838,673.8053305111548,00:23:16
observability,N/A,N/A,0,118628352,0,0,93.93946183976838,673.8053305111548,00:23:16
kube-system,N/A,N/A,0.0007501007488277696,63582208,0,0,N/A,N/A,00:23:16
observability,N/A,N/A,0,118628352,0,0,93.93946183976838,673.8053305111548,00:23:16
robot-shop,N/A,N/A,0,14331904,638.6951026370416,3193.1606058276316,8.81452862344101,17.82833836858006,00:23:16
robot-shop,N/A,N/A,0,14331904,638.6951026370416,3193.1606058276316,8.81452862344101,17.82833836858006,00:23:16
robot-shop,N/A,N/A,0,14331904,638.6951026370416,3193.1606058276316,8.81452862344101,17.82833836858006,00:23:16
chaos-testing,N/A,N/A,0.0018258084850075805,56328192,0,0,N/A,N/A,00:23:16
robot-shop,N/A,N/A,0,14331904,638.6951026370416,3193.1606058276316,8.81452862344101,17.82833836858006,00:23:16
chaos-testing,N/A,N/A,0.0018258084850075805,56328192,0,0,N/A,N/A,00:23:16
robot-shop,N/A,N/A,0,14331904,638.6951026370416,3193.1606058276316,8.81452862344101,17.82833836858006,00:23:16
observability,N/A,alertmanager,0.0004496810382754064,41799680,0,0,N/A,N/A,00:26:57
kube-system,N/A,calico-kube-controllers,0.002304966598896308,61673472,0,0,N/A,N/A,00:26:57
kube-system,N/A,calico-node,0.03590597453476981,142659584,1294.1139300496036,0,N/A,N/A,00:26:57
robot-shop,N/A,cart,0.0004529024160652669,73330688,0,0,N/A,N/A,00:26:57
robot-shop,N/A,catalogue,0.0006489454636216127,36585472,0,0,N/A,N/A,00:26:57
chaos-testing,N/A,chaos-daemon,0.0003216324804398381,55529472,0,0,N/A,N/A,00:26:57
chaos-testing,N/A,chaos-dashboard,0.0021402158738806232,103075840,0,0,N/A,N/A,00:26:57
chaos-testing,N/A,chaos-mesh,0.0005585349695573983,49315840,0,0,N/A,N/A,00:26:57
chaos-testing,N/A,chaos-mesh,0.0005585349695573983,49315840,0,0,N/A,N/A,00:26:57
chaos-testing,N/A,chaos-mesh,0.0005585349695573983,49315840,0,0,N/A,N/A,00:26:57
observability,N/A,config-reloader,0,2355200,0,0,N/A,N/A,00:26:57
observability,N/A,config-reloader,0,2355200,0,0,N/A,N/A,00:26:57
kube-system,N/A,coredns,0.0019123921641907265,59232256,0,0,N/A,N/A,00:26:57
robot-shop,N/A,dispatch,0.0030133871198057983,13877248,0,0,N/A,N/A,00:26:57
observability,N/A,grafana,0.002820504112897146,148672512,463.6631197645461,0,N/A,N/A,00:26:57
observability,N/A,grafana-sc-dashboard,0.0000326841396457085,95674368,0,0,N/A,N/A,00:26:57
observability,N/A,grafana-sc-datasources,0.00001055553762225915,83636224,0,0,N/A,N/A,00:26:57
kube-system,N/A,hostpath-provisioner,0.0014888520513883115,37740544,0,0,N/A,N/A,00:26:57
instana-agent,N/A,instana-agent,0.0010744741906080087,295882752,0,0,N/A,N/A,00:26:57
observability,N/A,kube-prometheus-stack,0.0008447638169713602,78651392,0,0,N/A,N/A,00:26:57
observability,N/A,kube-state-metrics,0.0012030699445141992,48627712,0,0,N/A,N/A,00:26:57
instana-agent,N/A,leader-elector,0.0008444097402972988,25354240,0,0,N/A,N/A,00:26:57
observability,N/A,loki,0.003257377761438454,110514176,0,12320.443835433307,N/A,N/A,00:26:57
kube-system,N/A,metrics-server,0.00400674022066198,59891712,0,0,N/A,N/A,00:26:57
robot-shop,N/A,mongodb,0.0052376261631254944,209137664,0,5338.344497317613,N/A,N/A,00:26:57
default,N/A,my-pod,0,11046912,0,0,N/A,N/A,00:26:57
robot-shop,N/A,mysql,0.0007374046214622476,777728000,0,0,N/A,N/A,00:26:57
default,N/A,nginx,0,1974272,0,0,N/A,N/A,00:26:57
default,N/A,nginx,0,1974272,0,0,N/A,N/A,00:26:57
default,N/A,nginx,0,1974272,0,0,N/A,N/A,00:26:57
ingress,N/A,nginx-ingress-microk8s,0.0014454333333333421,206123008,0,0,N/A,N/A,00:26:57
observability,N/A,node-exporter,0.0027382444342554406,22810624,0,0,N/A,N/A,00:26:57
robot-shop,N/A,payment,0.0004797776565270729,61865984,N/A,N/A,N/A,N/A,00:26:57
observability,N/A,prometheus,0.029402628607822202,1305100288,0,26086.906174912427,N/A,N/A,00:26:57
observability,N/A,promtail,0.022184229045520164,118349824,0,0,N/A,N/A,00:26:57
robot-shop,N/A,rabbitmq,0.003664624305098904,133070848,0,0,N/A,N/A,00:26:57
robot-shop,N/A,ratings,0.0011255168157975938,91492352,0,0,N/A,N/A,00:26:57
default,N/A,redis,0.001618227795482886,2805760,0,0,N/A,N/A,00:26:57
default,N/A,redis,0.001618227795482886,2805760,0,0,N/A,N/A,00:26:57
robot-shop,N/A,shipping,0.002623554545762753,569856000,0,694.496252840042,N/A,N/A,00:26:57
default,N/A,temp-pod,0,7049216,0,0,N/A,N/A,00:26:57
observability,N/A,tempo,0.0010461271830422602,99835904,0,136.51513131582456,N/A,N/A,00:26:57
observability,N/A,tempo-query,0.0004968027689780587,53030912,0,0,N/A,N/A,00:26:57
robot-shop,N/A,user,0.0007548066048405332,37363712,0,0,N/A,N/A,00:26:57
observability,N/A,N/A,0.022722265201918654,118870016,0,0,289.8370247295208,389.27930963420914,00:26:57
default,N/A,N/A,0,2490368,0,0,0,0,00:26:57
observability,N/A,N/A,0.022722265201918654,118870016,0,0,289.8370247295208,389.27930963420914,00:26:57
default,N/A,N/A,0,2490368,0,0,0,0,00:26:57
default,N/A,N/A,0,2490368,0,0,0,0,00:26:57
observability,N/A,N/A,0.022722265201918654,118870016,0,0,289.8370247295208,389.27930963420914,00:26:57
kube-system,N/A,N/A,0.002304069875487824,62189568,0,0,319.71235771249405,40.658441824006545,00:26:57
default,N/A,N/A,0,2490368,0,0,0,0,00:26:57
ingress,N/A,N/A,0.0025896811662218105,206643200,0,0,1219.6416066619029,296.7143131973836,00:26:57
